title,description,site,severity,status,createdAt
"Missing consent form","Consent form not in file for patient 003","Site-101","major","open","2025-05-01T09:00:00Z"
"Late visit","Visit week 4 occurred on week 6","Site-202","minor","in_progress","2025-05-03T12:30:00Z"
"Drug temp excursion","IP stored above max temp for 6 hours","Site-101","critical","open","2025-05-10T08:15:00Z"
"Unblinded email","Coordinator emailed treatment arm to CRA","Site-303","major","resolved","2025-05-14T16:00:00Z"
"Missing lab results","Lab results for week 8 not in source documents","Site-105","major","open","2025-05-02T10:15:00Z"
"Protocol deviation","Study drug administered 2 hours late","Site-202","minor","resolved","2025-05-05T14:20:00Z"
"SAE not reported","Serious adverse event reported 3 days late to IRB","Site-101","critical","in_progress","2025-05-07T08:00:00Z"
"Incomplete case report form","CRF page 15 missing required signatures","Site-304","minor","open","2025-05-09T11:30:00Z"
"Temperature log gap","Refrigerator temperature not recorded for 48 hours","Site-202","major","in_progress","2025-05-11T09:45:00Z"
"Eligibility criteria violation","Subject enrolled despite not meeting inclusion criteria #3","Site-101","critical","open","2025-05-13T13:00:00Z"
"Missing pharmacy logs","Dispensing records missing for 3 subjects","Site-305","major","in_progress","2025-05-15T10:00:00Z"
"Incorrect dosing","Patient received 50mg instead of 100mg for one dose","Site-303","major","resolved","2025-05-17T15:30:00Z"
"ECG not performed","Baseline ECG missing for subject 045","Site-202","major","open","2025-05-19T08:30:00Z"
"Expired study drug","One vial past expiration date was dispensed","Site-101","critical","in_progress","2025-05-20T12:00:00Z"
"Training documentation missing","PI certification not in regulatory binder","Site-304","minor","resolved","2025-05-22T14:15:00Z"
"Delayed AE reporting","Adverse event not entered in database for 5 days","Site-105","major","open","2025-05-24T09:00:00Z"
"Site file incomplete","Essential documents missing from ISF","Site-303","major","in_progress","2025-05-26T11:45:00Z"
"Incorrect visit window","Visit conducted outside protocol-specified window","Site-202","minor","resolved","2025-05-28T10:30:00Z"
"Missing source documentation","Hospital records not obtained for SAE","Site-101","critical","open","2025-05-30T13:20:00Z"
"Unblinding event","Pharmacy accidentally revealed treatment assignment","Site-305","critical","in_progress","2025-06-01T08:00:00Z"
"Protocol amendment not implemented","Site continued old procedures after amendment","Site-304","major","open","2025-06-03T14:00:00Z"
"Informed consent not updated","Old ICF version used for new subject","Site-202","critical","resolved","2025-06-05T09:15:00Z"
"Lab sample hemolyzed","Blood sample compromised during collection","Site-101","minor","resolved","2025-06-07T11:00:00Z"
"Pregnancy test not done","Required pregnancy test missed at screening","Site-303","major","open","2025-06-09T10:45:00Z"
"Concurrent medication not recorded","Subject's new medication not documented in CRF","Site-105","minor","in_progress","2025-06-11T15:00:00Z"
"Study drug accountability error","Discrepancy in drug count vs. records","Site-202","major","open","2025-06-13T08:30:00Z"
"Monitoring visit findings","12 queries raised during on-site monitoring","Site-304","major","in_progress","2025-06-15T13:45:00Z"
"Vital signs not recorded","Blood pressure readings missing for visit 6","Site-101","minor","resolved","2025-06-17T09:30:00Z"
"Randomization error","Subject randomized to wrong treatment group","Site-305","critical","open","2025-06-19T14:20:00Z"
"Missing physical exam","Complete physical exam not performed at baseline","Site-303","major","in_progress","2025-06-21T10:00:00Z"
"Data entry error","Height entered as 170cm instead of 170inches","Site-202","minor","resolved","2025-06-23T11:15:00Z"
"Concomitant med not reported","Subject taking excluded medication discovered","Site-101","critical","open","2025-06-25T08:45:00Z"
"Lab results out of range","Critical lab value not followed up by investigator","Site-304","major","in_progress","2025-06-27T13:00:00Z"
"Subject withdrew consent","Partial data needs to be handled per protocol","Site-105","minor","resolved","2025-06-29T15:30:00Z"
"Equipment malfunction","Spirometer not calibrated for 2 months","Site-303","major","open","2025-07-01T09:00:00Z"
"Documentation error","Date inconsistency between source and CRF","Site-202","minor","in_progress","2025-07-03T10:45:00Z"
"SAE hospitalization","Subject admitted to ER with chest pain","Site-101","critical","in_progress","2025-07-05T02:30:00Z"
"PI signature missing","Multiple CRF pages not signed by investigator","Site-305","major","open","2025-07-07T14:00:00Z"
"Visit procedures not followed","EKG performed before blood draw contrary to protocol","Site-304","minor","resolved","2025-07-09T11:30:00Z"
"Drug shipment delay","Site ran out of study medication for 3 days","Site-202","major","resolved","2025-07-11T08:15:00Z"
"IRB approval expired","Study conducted for 2 weeks past approval date","Site-101","critical","open","2025-07-13T13:45:00Z"
"Delegation log not updated","New coordinator performing tasks without documentation","Site-303","major","in_progress","2025-07-15T10:00:00Z"
"MedDRA coding error","AE term miscoded in safety database","Site-105","minor","resolved","2025-07-17T15:20:00Z"
"Subject non-compliance","Patient missed 5 consecutive doses","Site-202","major","open","2025-07-19T09:30:00Z"
"Quality control finding","Multiple errors found during QC review","Site-304","major","in_progress","2025-07-21T11:00:00Z"
"Lab certification expired","Central lab not properly certified for 1 month","Site-101","critical","open","2025-07-23T14:30:00Z"
"Imaging not obtained","Required MRI not performed at study endpoint","Site-305","major","in_progress","2025-07-25T08:00:00Z"
"Screen failure not documented","Subject screen failure reason not recorded","Site-303","minor","resolved","2025-07-27T10:15:00Z"
"Database lock delay","Queries preventing database lock for analysis","Site-202","major","in_progress","2025-07-29T13:00:00Z"
"Final visit incomplete","Subject lost to follow-up before study completion","Site-101","major","open","2025-07-31T09:45:00Z"
